,Precision,Recall,F1_Score,Samples
Allergic Rhinitis,0.4772727272727273,0.525,0.5,120.0
Anemia,0.5573770491803278,0.5666666666666667,0.5619834710743802,120.0
Asthma,0.5114503816793893,0.5583333333333333,0.5338645418326693,120.0
Bronchitis,0.42857142857142855,0.35,0.3853211009174312,120.0
Chikungunya,0.34210526315789475,0.325,0.3333333333333333,120.0
Common Cold,0.616822429906542,0.55,0.5814977973568282,120.0
Dengue,0.417910447761194,0.4666666666666667,0.4409448818897638,120.0
Diabetes,0.6212121212121212,0.6833333333333333,0.6507936507936508,120.0
Food Poisoning,0.45689655172413796,0.44166666666666665,0.4491525423728814,120.0
Gastroenteritis,0.30701754385964913,0.2916666666666667,0.29914529914529914,120.0
Hypertension,0.37254901960784315,0.31666666666666665,0.34234234234234234,120.0
Influenza,0.3472222222222222,0.4166666666666667,0.3787878787878788,120.0
Jaundice,0.8559322033898306,0.8416666666666667,0.8487394957983193,120.0
Malaria,0.44680851063829785,0.35,0.3925233644859813,120.0
Migraine,0.6991869918699187,0.7166666666666667,0.7078189300411523,120.0
Pneumonia,0.4915254237288136,0.48333333333333334,0.48739495798319327,120.0
Sinusitis,0.3652173913043478,0.35,0.3574468085106383,120.0
Typhoid,0.3284671532846715,0.375,0.35019455252918286,120.0
Urinary Tract Infection,0.7964601769911505,0.75,0.7725321888412017,120.0
Viral Fever,0.22794117647058823,0.25833333333333336,0.2421875,120.0
